tool,principle,documentation,codebase,domain,modality,provider,code_snippet_path,ai_operation,article,question
aix360,explainability,https://github.com/Trusted-AI/AIX360,,,"text, image, audio, video, tabular",IBM,,"['data_processing', 'model_evaluation', 'post_inference_transformation']",['14'],"[""Which local and global explanation methods best describe this model's decisions?"", 'How faithful are generated explanations to the underlying model behavior?', 'Are explanations robust under small input perturbations?', 'Do explanations reveal proxy variables for sensitive attributes?', 'How can we compare explanation quality across multiple XAI techniques?', 'Which model decisions remain unexplained and require further review?']"
lime,explainability,https://github.com/marcotcr/lime,,,"text, image, audio, video, tabular",lime,,"['model_evaluation', 'model_monitoring', 'post_inference_transformation']",['14'],"['Which input features most influenced this single prediction?', 'How stable are local explanations when we slightly perturb the same instance?', 'Do similar instances receive similar local explanations?', 'Which words, pixels, or variables are driving a negative vs positive outcome?', 'Can local explanations help identify spurious correlations in the model?', 'How do LIME explanations compare with SHAP or other explainers on the same sample?']"
adversarial-robustness-toolbox,robustness,https://github.com/Trusted-AI/adversarial-robustness-toolbox?tab=readme-ov-file,https://github.com/Trusted-AI/adversarial-robustness-toolbox,,"text, image, audio, video, tabular",IBM,,"['model_training', 'model_evaluation', 'model_monitoring', 'post_inference_transformation']",['14'],"['How vulnerable is the model to evasion, poisoning, or extraction attacks?', 'Which adversarial attack types most reduce model performance?', 'What minimum perturbation is required to change model predictions?', 'Does adversarial training improve robustness without major accuracy loss?', 'Which classes or subgroups are most sensitive to adversarial examples?', 'How robust is the model under realistic noise and corruption settings?']"
aequitas-fairlib,fairness,https://pikalab-unibo-students.github.io/master-thesis-dizio-ay2324/,https://github.com/pikalab-unibo-students/master-thesis-dizio-ay2324/tree/master,"classification, regression",tabular,aequitas,,"['data_preprocessing', 'model_training', 'model_evaluation']","['10.2', '10.3']","['What demographic information and domain is the dataset aiming to represent?', 'What is the minimum sample size to represent the population sufficiently and significantly? ', 'What is the distribution of the target variable?', 'Is the dataset representative of the target population or domain?', 'Is the dataset sufficiently large to capture the variability and complexity of the underlying phenomena?', 'Are there enough samples from minority or underrepresented groups to avoid biases and ensure fairness? ']"
evidently,"baseline, robustness",https://github.com/evidentlyai/evidently,https://github.com/evidentlyai/evidently,,"tabular, text, embeddings",evidently.ai,code_snippets/evidently.py:data_profiling_detect_data_drift,"['data_validation', 'model_monitoring', 'production_data_monitoring']","['10.1', '10.2', '10.3']","['Can you create a report about the level of data drift for the given reference and target data?How many features of each type do we have?', 'How many features are (mostly) missing or constant?', 'How are the features distributed?', 'Which features are strongly correlated?', 'Are two datasets similar?', 'If something has changed, what exactly?']"
nannyml,"baseline, robustness",https://nannyml.readthedocs.io/en/stable/quick.html,https://github.com/nannyml/nannyml,,"tabular, text, embeddings",nannyml,code_snippets/nannyml.py:model_monitoring_concept_drift,"['data_validation', 'model_monitoring', 'production_data_monitoring']",,"['Is the pattern learned by the model still applicable?', 'Has the decision boundary changed?', 'What is the magnitude of the concept drift?', 'What is the impact of concept drift on model performance?', 'What is the impact of covariate shift on model performance?', 'Has the relationship between the target variable and the model inputs changed?', 'What is the expected performance on unseen data or data with different distributions?']"
alibi-detect,robustness,https://docs.seldon.ai/alibi-detect,https://github.com/SeldonIO/alibi-detect,"regression, chatbot, object detection","text, image, audio, video, tabular, time series",SeldonIO,,,,"['How different two datasets are?', 'Is there any data drift between two datasets?', 'Does the data contain any outliers?', 'Does the data contain any adversarial examples?']"
nemo-evaluator,baseline,https://docs.nvidia.com/nemo/evaluator/latest/about/index.html,https://github.com/NVIDIA-NeMo/Evaluator.git,"LLM-based Agent, text classification, text summarization, text generation, RAG, speech-to-text",text,nvidia,,,,"['How can I compare the performance of different LLM models on text generation, text classification, text summarization, text generation, RAG, and speech-to-text tasks?']"
trulens,baseline,https://www.trulens.org/getting_started/,https://github.com/truera/trulens/,"LLM-based Agent, text classification, text summarization, text generation, RAG, speech-to-text",text,trulens,,"['model_evaluation', 'model_monitoring']",,"['How can I compare the performance of different LLM models on text generation, text classification, text summarization, text generation, RAG, and speech-to-text tasks?']"
ragas,baseline,https://docs.ragas.io/en/stable/,https://github.com/vibrantlabsai/ragas,"LLM-based Agent, text classification, text summarization, text generation, RAG, speech-to-text",text,SeldonIO,,"['model_evaluation', 'model_monitoring']",,"['How can I compare the performance of different LLM models on text generation, text classification, text summarization, text generation, RAG, and speech-to-text tasks?']"
unsloth,optimization,https://unsloth.ai/docs/get-started/fine-tuning-llms-guide,https://github.com/unslothai/unsloth,"fine tuning, optimized training, fast inference",text,unslothai,,['model_training'],,['How can I fine-tune and optimize the performance of different LLM models for specific tasks?']
great_expectations,baseline,https://docs.greatexpectations.io/docs/,https://github.com/great-expectations/great_expectations,"classification, regression",tabular,great_expectations,code_snippets/great_expectations.py:data_validation_values_between,['data_validation'],,"['What volume of data is necessary for the development of the AI system, keeping in mind the data minimisation principle?', 'How many instances are there in total?', 'What is the distribution of the target variable?', 'How many missing values do we have in each feature?', 'How many features do we have in total?', 'Are there any significant outliers or anomalies?']"
